"Country","GBDCHILDCAUSES","Year","Deaths_0_to_27_Days","Deaths_1_to_59_Months","Deaths_0_to_4_Years"
"Antigua and Barbuda","HIV/AIDS","2013","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2012","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2011","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2010","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2009","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2008","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2007","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2006","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2005","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2004","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2003","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2002","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2001","0","0","0"
"Antigua and Barbuda","HIV/AIDS","2000","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2013","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2012","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2011","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2010","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2009","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2008","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2007","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2006","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2005","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2004","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2003","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2002","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2001","0","0","0"
"Antigua and Barbuda","Diarrhoeal diseases","2000","0","0","0"
"Antigua and Barbuda","Pertussis","2013","0","0","0"
"Antigua and Barbuda","Pertussis","2012","0","0","0"
"Antigua and Barbuda","Pertussis","2011","0","0","0"
"Antigua and Barbuda","Pertussis","2010","0","0","0"
"Antigua and Barbuda","Pertussis","2009","0","0","0"
"Antigua and Barbuda","Pertussis","2008","0","0","0"
"Antigua and Barbuda","Pertussis","2007","0","0","0"
"Antigua and Barbuda","Pertussis","2006","0","0","0"
"Antigua and Barbuda","Pertussis","2005","0","0","0"
"Antigua and Barbuda","Pertussis","2004","0","0","0"
"Antigua and Barbuda","Pertussis","2003","0","0","0"
"Antigua and Barbuda","Pertussis","2002","0","0","0"
"Antigua and Barbuda","Pertussis","2001","0","0","0"
"Antigua and Barbuda","Pertussis","2000","0","0","0"
"Antigua and Barbuda","Tetanus","2013","0","0","0"
"Antigua and Barbuda","Tetanus","2012","0","0","0"
"Antigua and Barbuda","Tetanus","2011","0","0","0"
"Antigua and Barbuda","Tetanus","2010","0","0","0"
"Antigua and Barbuda","Tetanus","2009","0","0","0"
"Antigua and Barbuda","Tetanus","2008","0","0","0"
"Antigua and Barbuda","Tetanus","2007","0","0","0"
"Antigua and Barbuda","Tetanus","2006","0","0","0"
"Antigua and Barbuda","Tetanus","2005","0","0","0"
"Antigua and Barbuda","Tetanus","2004","0","0","0"
"Antigua and Barbuda","Tetanus","2003","0","0","0"
"Antigua and Barbuda","Tetanus","2002","0","0","0"
"Antigua and Barbuda","Tetanus","2001","0","0","0"
"Antigua and Barbuda","Tetanus","2000","0","0","0"
"Antigua and Barbuda","Measles","2013","0","0","0"
"Antigua and Barbuda","Measles","2012","0","0","0"
"Antigua and Barbuda","Measles","2011","0","0","0"
"Antigua and Barbuda","Measles","2010","0","0","0"
"Antigua and Barbuda","Measles","2009","0","0","0"
"Antigua and Barbuda","Measles","2008","0","0","0"
"Antigua and Barbuda","Measles","2007","0","0","0"
"Antigua and Barbuda","Measles","2006","0","0","0"
"Antigua and Barbuda","Measles","2005","0","0","0"
"Antigua and Barbuda","Measles","2004","0","0","0"
"Antigua and Barbuda","Measles","2003","0","0","0"
"Antigua and Barbuda","Measles","2002","0","0","0"
"Antigua and Barbuda","Measles","2001","0","0","0"
"Antigua and Barbuda","Measles","2000","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2013","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2012","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2011","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2010","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2009","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2008","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2007","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2006","0","1","1"
"Antigua and Barbuda","Meningitis/encephalitis","2005","0","0","0"
"Antigua and Barbuda","Meningitis/encephalitis","2004","0","1","1"
"Antigua and Barbuda","Meningitis/encephalitis","2003","0","1","1"
"Antigua and Barbuda","Meningitis/encephalitis","2002","0","1","1"
"Antigua and Barbuda","Meningitis/encephalitis","2001","0","1","1"
"Antigua and Barbuda","Meningitis/encephalitis","2000","0","1","1"
"Antigua and Barbuda","Malaria","2013","0","0","0"
"Antigua and Barbuda","Malaria","2012","0","0","0"
"Antigua and Barbuda","Malaria","2011","0","0","0"
"Antigua and Barbuda","Malaria","2010","0","0","0"
"Antigua and Barbuda","Malaria","2009","0","0","0"
"Antigua and Barbuda","Malaria","2008","0","0","0"
"Antigua and Barbuda","Malaria","2007","0","0","0"
"Antigua and Barbuda","Malaria","2006","0","0","0"
"Antigua and Barbuda","Malaria","2005","0","0","0"
"Antigua and Barbuda","Malaria","2004","0","0","0"
"Antigua and Barbuda","Malaria","2003","0","0","0"
"Antigua and Barbuda","Malaria","2002","0","0","0"
"Antigua and Barbuda","Malaria","2001","0","0","0"
"Antigua and Barbuda","Malaria","2000","0","0","0"
"Antigua and Barbuda","Acute lower respiratory infections","2013","0","1","1"
"Antigua and Barbuda","Acute lower respiratory infections","2012","0","1","1"
